RPC failed: [Errno socket error] [Errno 111] Connection refused
catch_up_rpc: abort
Opened /home/joseph/.AuroraCoin/blk0001.dat
block_tx 92988 435892
block_tx 92989 435893
block_tx 92990 435894
block_tx 92991 435895
block_tx 92992 435896
block_tx 92992 435897
block_tx 92992 435898
block_tx 92993 435899
block_tx 92994 435900
block_tx 92995 435901
block_tx 92996 435902
block_tx 92997 435903
block_tx 92998 435904
block_tx 92999 435905
block_tx 93000 435906
block_tx 93000 435907
block_tx 93001 435908
block_tx 93002 435909
block_tx 93002 435910
block_tx 93002 435911
block_tx 93002 435912
block_tx 93002 435913
block_tx 93002 435914
block_tx 93003 435915
block_tx 93004 435916
block_tx 93005 435917
block_tx 93006 435918
block_tx 93007 435919
block_tx 93008 435920
block_tx 93009 435921
block_tx 93009 435922
block_tx 93009 435923
block_tx 93010 435924
block_tx 93010 435925
block_tx 93010 435926
block_tx 93010 435927
block_tx 93010 435928
block_tx 93010 435929
block_tx 93011 435930
block_tx 93012 435931
block_tx 93013 435932
block_tx 93014 435933
block_tx 93015 435934
block_tx 93016 435935
block_tx 93017 435936
block_tx 93018 435937
block_tx 93019 435938
block_tx 93020 435939
block_tx 93021 435940
block_tx 93022 435941
block_tx 93023 435942
block_tx 93024 435943
block_tx 93024 435944
block_tx 93025 435945
block_tx 93026 435946
block_tx 93027 435947
block_tx 93028 435948
block_tx 93029 435949
block_tx 93029 435950
block_tx 93030 435951
block_tx 93030 435952
block_tx 93030 435953
block_tx 93030 435954
block_tx 93031 435955
block_tx 93032 435956
block_tx 93033 435957
block_tx 93034 435958
block_tx 93034 435959
block_tx 93034 435960
block_tx 93035 435961
block_tx 93036 435962
block_tx 93037 435963
block_tx 93038 435964
block_tx 93039 435965
block_tx 93040 435966
block_tx 93041 435967
block_tx 93042 435968
block_tx 93042 435969
block_tx 93043 435970
block_tx 93044 435971
block_tx 93045 435972
block_tx 93046 435973
block_tx 93047 435974
block_tx 93047 435975
block_tx 93048 435976
